millis,stamp,datetime,light
999, 946684800, 01/01/2000 00:00:00, 5734
1998, 946684800, 01/01/2000 00:00:00, 2543
3000, 946684800, 01/01/2000 00:00:00, 5873
3999, 946684800, 01/01/2000 00:00:00, 5612
5000, 946684800, 01/01/2000 00:00:00, 5341
5999, 946684800, 01/01/2000 00:00:00, 4584
6999, 946684800, 01/01/2000 00:00:00, 4382
8000, 946684800, 01/01/2000 00:00:00, 5897
8998, 946684800, 01/01/2000 00:00:00, 5363
9999, 946684800, 01/01/2000 00:00:00, 3454
10998, 946684800, 01/01/2000 00:00:00, 3460
11999, 946684800, 01/01/2000 00:00:00, 4832
13000, 946684800, 01/01/2000 00:00:00, 3728
13999, 946684800, 01/01/2000 00:00:00, 5737
14999, 946684800, 01/01/2000 00:00:00, 3597
15998, 946684800, 01/01/2000 00:00:00, 1041
16999, 946684800, 01/01/2000 00:00:00, 1779
17998, 946684800, 01/01/2000 00:00:00, 4558
18999, 946684800, 01/01/2000 00:00:00, 3454
19998, 946684800, 01/01/2000 00:00:00, 1915
20999, 946684800, 01/01/2000 00:00:00, 5000
21999, 946684800, 01/01/2000 00:00:00, 5352
22999, 946684800, 01/01/2000 00:00:00, 1045
23999, 946684800, 01/01/2000 00:00:00, 2694
24998, 946684800, 01/01/2000 00:00:00, 471
26000, 946684800, 01/01/2000 00:00:00, 898
26999, 946684800, 01/01/2000 00:00:00, 2717
28000, 946684800, 01/01/2000 00:00:00, 5545
28998, 946684800, 01/01/2000 00:00:00, 4497
30000, 946684800, 01/01/2000 00:00:00, 2100
30999, 946684800, 01/01/2000 00:00:00, 7934
32000, 946684800, 01/01/2000 00:00:00, 8133
32999, 946684800, 01/01/2000 00:00:00, 7138
33999, 946684800, 01/01/2000 00:00:00, 6483
35000, 946684800, 01/01/2000 00:00:00, 10293
35999, 946684800, 01/01/2000 00:00:00, 9218
36999, 946684800, 01/01/2000 00:00:00, 10372
37999, 946684800, 01/01/2000 00:00:00, 6634
39000, 946684800, 01/01/2000 00:00:00, 4672
40000, 946684800, 01/01/2000 00:00:00, 3801
40999, 946684800, 01/01/2000 00:00:00, 3826
42000, 946684800, 01/01/2000 00:00:00, 3809
42999, 946684800, 01/01/2000 00:00:00, 3789
44000, 946684800, 01/01/2000 00:00:00, 3198
44999, 946684800, 01/01/2000 00:00:00, 3192
45999, 946684800, 01/01/2000 00:00:00, 2691
46998, 946684800, 01/01/2000 00:00:00, 2713
48000, 946684800, 01/01/2000 00:00:00, 2782
49000, 946684800, 01/01/2000 00:00:00, 2782
49999, 946684800, 01/01/2000 00:00:00, 2703
51000, 946684800, 01/01/2000 00:00:00, 2338
51999, 946684800, 01/01/2000 00:00:00, 2048
