millis,stamp,datetime,light
1000, 946684800, 01/01/2000 00:00:00, 225
1999, 946684800, 01/01/2000 00:00:00, 228
3000, 946684800, 01/01/2000 00:00:00, 229
4000, 946684800, 01/01/2000 00:00:00, 229
4999, 946684800, 01/01/2000 00:00:00, 229
5998, 946684800, 01/01/2000 00:00:00, 172
6999, 946684800, 01/01/2000 00:00:00, 175
8000, 946684800, 01/01/2000 00:00:00, 179
8999, 946684800, 01/01/2000 00:00:00, 199
10000, 946684800, 01/01/2000 00:00:00, 211
10999, 946684800, 01/01/2000 00:00:00, 226
12000, 946684800, 01/01/2000 00:00:00, 225
12999, 946684800, 01/01/2000 00:00:00, 231
13999, 946684800, 01/01/2000 00:00:00, 232
14999, 946684800, 01/01/2000 00:00:00, 232
15998, 946684800, 01/01/2000 00:00:00, 232
16999, 946684800, 01/01/2000 00:00:00, 232
17998, 946684800, 01/01/2000 00:00:00, 232
18999, 946684800, 01/01/2000 00:00:00, 231
19998, 946684800, 01/01/2000 00:00:00, 233
20999, 946684800, 01/01/2000 00:00:00, 233
21998, 946684800, 01/01/2000 00:00:00, 232
23000, 946684800, 01/01/2000 00:00:00, 232
23999, 946684800, 01/01/2000 00:00:00, 230
24998, 946684800, 01/01/2000 00:00:00, 229
26000, 946684800, 01/01/2000 00:00:00, 232
26999, 946684800, 01/01/2000 00:00:00, 232
28000, 946684800, 01/01/2000 00:00:00, 232
28999, 946684800, 01/01/2000 00:00:00, 232
30000, 946684800, 01/01/2000 00:00:00, 232
30999, 946684800, 01/01/2000 00:00:00, 232
31998, 946684800, 01/01/2000 00:00:00, 232
32999, 946684800, 01/01/2000 00:00:00, 232
33998, 946684800, 01/01/2000 00:00:00, 232
34999, 946684800, 01/01/2000 00:00:00, 232
35998, 946684800, 01/01/2000 00:00:00, 231
37000, 946684800, 01/01/2000 00:00:00, 232
37998, 946684800, 01/01/2000 00:00:00, 231
38999, 946684800, 01/01/2000 00:00:00, 231
40000, 946684800, 01/01/2000 00:00:00, 231
40999, 946684800, 01/01/2000 00:00:00, 231
42000, 946684800, 01/01/2000 00:00:00, 231
42999, 946684800, 01/01/2000 00:00:00, 231
44000, 946684800, 01/01/2000 00:00:00, 231
44999, 946684800, 01/01/2000 00:00:00, 231
46000, 946684800, 01/01/2000 00:00:00, 231
46999, 946684800, 01/01/2000 00:00:00, 231
48000, 946684800, 01/01/2000 00:00:00, 230
48999, 946684800, 01/01/2000 00:00:00, 230
49999, 946684800, 01/01/2000 00:00:00, 229
51000, 946684800, 01/01/2000 00:00:00, 226
