millis,stamp,datetime,light
999, 946684800, 01/01/2000 00:00:00, 8092
1999, 946684800, 01/01/2000 00:00:00, 8515
3000, 946684800, 01/01/2000 00:00:00, 8478
3999, 946684800, 01/01/2000 00:00:00, 7861
5000, 946684800, 01/01/2000 00:00:00, 7784
5999, 946684800, 01/01/2000 00:00:00, 7316
6999, 946684800, 01/01/2000 00:00:00, 6174
7999, 946684800, 01/01/2000 00:00:00, 701
8998, 946684800, 01/01/2000 00:00:00, 3049
10000, 946684800, 01/01/2000 00:00:00, 4920
10999, 946684800, 01/01/2000 00:00:00, 1230
12000, 946684800, 01/01/2000 00:00:00, 2965
12999, 946684800, 01/01/2000 00:00:00, 6324
13999, 946684800, 01/01/2000 00:00:00, 7475
14998, 946684800, 01/01/2000 00:00:00, 7279
16000, 946684800, 01/01/2000 00:00:00, 7124
16998, 946684800, 01/01/2000 00:00:00, 5842
17998, 946684800, 01/01/2000 00:00:00, 5315
18999, 946684800, 01/01/2000 00:00:00, 4575
19999, 946684800, 01/01/2000 00:00:00, 4807
21000, 946684800, 01/01/2000 00:00:00, 1842
21999, 946684800, 01/01/2000 00:00:00, 1884
23000, 946684800, 01/01/2000 00:00:00, 2812
23998, 946684800, 01/01/2000 00:00:00, 2815
24999, 946684800, 01/01/2000 00:00:00, 5906
