millis,stamp,datetime,light
1000, 946684800, 01/01/2000 00:00:00, 4123
1999, 946684800, 01/01/2000 00:00:00, 5848
2999, 946684800, 01/01/2000 00:00:00, 5732
4000, 946684800, 01/01/2000 00:00:00, 5592
4999, 946684800, 01/01/2000 00:00:00, 4816
5998, 946684800, 01/01/2000 00:00:00, 4900
7000, 946684800, 01/01/2000 00:00:00, 4570
7999, 946684800, 01/01/2000 00:00:00, 4740
8999, 946684800, 01/01/2000 00:00:00, 4461
9999, 946684800, 01/01/2000 00:00:00, 7424
10998, 946684800, 01/01/2000 00:00:00, 10360
11999, 946684800, 01/01/2000 00:00:00, 7685
13000, 946684800, 01/01/2000 00:00:00, 7499
14000, 946684800, 01/01/2000 00:00:00, 7698
14999, 946684800, 01/01/2000 00:00:00, 8876
15998, 946684800, 01/01/2000 00:00:00, 7562
16999, 946684800, 01/01/2000 00:00:00, 7570
17998, 946684800, 01/01/2000 00:00:00, 6824
18999, 946684800, 01/01/2000 00:00:00, 6380
19998, 946684800, 01/01/2000 00:00:00, 6277
21000, 946684800, 01/01/2000 00:00:00, 5351
21999, 946684800, 01/01/2000 00:00:00, 5797
23000, 946684800, 01/01/2000 00:00:00, 3714
23999, 946684800, 01/01/2000 00:00:00, 2481
24998, 946684800, 01/01/2000 00:00:00, 3907
25999, 946684800, 01/01/2000 00:00:00, 1952
26998, 946684800, 01/01/2000 00:00:00, 3293
28000, 946684800, 01/01/2000 00:00:00, 3530
28999, 946684800, 01/01/2000 00:00:00, 1135
30000, 946684800, 01/01/2000 00:00:00, 2616
30999, 946684800, 01/01/2000 00:00:00, 2004
31998, 946684800, 01/01/2000 00:00:00, 2162
32999, 946684800, 01/01/2000 00:00:00, 4164
33998, 946684800, 01/01/2000 00:00:00, 3228
35000, 946684800, 01/01/2000 00:00:00, 2402
35999, 946684800, 01/01/2000 00:00:00, 4728
37000, 946684800, 01/01/2000 00:00:00, 6205
37999, 946684800, 01/01/2000 00:00:00, 4775
38999, 946684800, 01/01/2000 00:00:00, 5730
39999, 946684800, 01/01/2000 00:00:00, 4380
40998, 946684800, 01/01/2000 00:00:00, 2433
42000, 946684800, 01/01/2000 00:00:00, 4665
42999, 946684800, 01/01/2000 00:00:00, 2041
44000, 946684800, 01/01/2000 00:00:00, 3267
44999, 946684800, 01/01/2000 00:00:00, 2163
45999, 946684800, 01/01/2000 00:00:00, 3604
46998, 946684800, 01/01/2000 00:00:00, 3094
48000, 946684800, 01/01/2000 00:00:00, 3995
48999, 946684800, 01/01/2000 00:00:00, 4027
49999, 946684800, 01/01/2000 00:00:00, 4288
51000, 946684800, 01/01/2000 00:00:00, 3844
51999, 946684800, 01/01/2000 00:00:00, 2977
53000, 946684800, 01/01/2000 00:00:00, 3473
53999, 946684800, 01/01/2000 00:00:00, 2070
54999, 946684800, 01/01/2000 00:00:00, 3563
56000, 946684800, 01/01/2000 00:00:00, 4241
56999, 946684800, 01/01/2000 00:00:00, 4253
58000, 946684800, 01/01/2000 00:00:00, 2770
58999, 946684800, 01/01/2000 00:00:00, 4843
59999, 946684800, 01/01/2000 00:00:00, 4549
60998, 946684800, 01/01/2000 00:00:00, 5194
61999, 946684800, 01/01/2000 00:00:00, 4685
62999, 946684800, 01/01/2000 00:00:00, 700
63998, 946684800, 01/01/2000 00:00:00, 2460
65000, 946684800, 01/01/2000 00:00:00, 1281
65999, 946684800, 01/01/2000 00:00:00, 3572
66999, 946684800, 01/01/2000 00:00:00, 654
67999, 946684800, 01/01/2000 00:00:00, 2359
68999, 946684800, 01/01/2000 00:00:00, 3649
70000, 946684800, 01/01/2000 00:00:00, 2405
71000, 946684800, 01/01/2000 00:00:00, 4485
72000, 946684800, 01/01/2000 00:00:00, 2173
72999, 946684800, 01/01/2000 00:00:00, 3828
74000, 946684800, 01/01/2000 00:00:00, 3202
74999, 946684800, 01/01/2000 00:00:00, 1714
75999, 946684800, 01/01/2000 00:00:00, 3416
77000, 946684800, 01/01/2000 00:00:00, 4044
77999, 946684800, 01/01/2000 00:00:00, 2181
78999, 946684800, 01/01/2000 00:00:00, 1845
79998, 946684800, 01/01/2000 00:00:00, 4041
81000, 946684800, 01/01/2000 00:00:00, 4813
81998, 946684800, 01/01/2000 00:00:00, 5370
82999, 946684800, 01/01/2000 00:00:00, 10954
83998, 946684800, 01/01/2000 00:00:00, 5709
84999, 946684800, 01/01/2000 00:00:00, 8781
85999, 946684800, 01/01/2000 00:00:00, 5280
87000, 946684800, 01/01/2000 00:00:00, 7941
88000, 946684800, 01/01/2000 00:00:00, 5247
88999, 946684800, 01/01/2000 00:00:00, 5279
90000, 946684800, 01/01/2000 00:00:00, 4836
90998, 946684800, 01/01/2000 00:00:00, 5751
91999, 946684800, 01/01/2000 00:00:00, 7197
93000, 946684800, 01/01/2000 00:00:00, 8263
93999, 946684800, 01/01/2000 00:00:00, 1080
94999, 946684800, 01/01/2000 00:00:00, 9420
95998, 946684800, 01/01/2000 00:00:00, 2209
97000, 946684800, 01/01/2000 00:00:00, 3206
97999, 946684800, 01/01/2000 00:00:00, 13383
99000, 946684800, 01/01/2000 00:00:00, 12774
99998, 946684800, 01/01/2000 00:00:00, 11075
100999, 946684800, 01/01/2000 00:00:00, 4690
101999, 946684800, 01/01/2000 00:00:00, 3879
103000, 946684800, 01/01/2000 00:00:00, 3206
103999, 946684800, 01/01/2000 00:00:00, 5925
104998, 946684800, 01/01/2000 00:00:00, 6041
106000, 946684800, 01/01/2000 00:00:00, 6015
106999, 946684800, 01/01/2000 00:00:00, 5983
107999, 946684800, 01/01/2000 00:00:00, 5652
108999, 946684800, 01/01/2000 00:00:00, 5200
110000, 946684800, 01/01/2000 00:00:00, 4306
110999, 946684800, 01/01/2000 00:00:00, 4337
111998, 946684800, 01/01/2000 00:00:00, 4125
112999, 946684800, 01/01/2000 00:00:00, 3609
113999, 946684800, 01/01/2000 00:00:00, 3847
114999, 946684800, 01/01/2000 00:00:00, 3781
115998, 946684800, 01/01/2000 00:00:00, 3642
116999, 946684800, 01/01/2000 00:00:00, 3544
117998, 946684800, 01/01/2000 00:00:00, 3664
119000, 946684800, 01/01/2000 00:00:00, 4060
120000, 946684800, 01/01/2000 00:00:00, 4397
120999, 946684800, 01/01/2000 00:00:00, 5298
