millis,stamp,datetime,light
999, 946684800, 01/01/2000 00:00:00, 225
1999, 946684800, 01/01/2000 00:00:00, 227
3000, 946684800, 01/01/2000 00:00:00, 227
3999, 946684800, 01/01/2000 00:00:00, 226
5000, 946684800, 01/01/2000 00:00:00, 226
6000, 946684800, 01/01/2000 00:00:00, 226
6999, 946684800, 01/01/2000 00:00:00, 227
7999, 946684800, 01/01/2000 00:00:00, 227
8999, 946684800, 01/01/2000 00:00:00, 226
10000, 946684800, 01/01/2000 00:00:00, 227
10998, 946684800, 01/01/2000 00:00:00, 226
12000, 946684800, 01/01/2000 00:00:00, 227
12998, 946684800, 01/01/2000 00:00:00, 227
14000, 946684800, 01/01/2000 00:00:00, 86
14999, 946684800, 01/01/2000 00:00:00, 190
16000, 946684800, 01/01/2000 00:00:00, 228
16999, 946684800, 01/01/2000 00:00:00, 228
17999, 946684800, 01/01/2000 00:00:00, 228
19000, 946684800, 01/01/2000 00:00:00, 225
19999, 946684800, 01/01/2000 00:00:00, 220
21000, 946684800, 01/01/2000 00:00:00, 204
21998, 946684800, 01/01/2000 00:00:00, 194
22999, 946684800, 01/01/2000 00:00:00, 214
23998, 946684800, 01/01/2000 00:00:00, 217
24999, 946684800, 01/01/2000 00:00:00, 218
25999, 946684800, 01/01/2000 00:00:00, 114
26999, 946684800, 01/01/2000 00:00:00, 54
27999, 946684800, 01/01/2000 00:00:00, 205
28999, 946684800, 01/01/2000 00:00:00, 208
30000, 946684800, 01/01/2000 00:00:00, 209
