millis,stamp,datetime,light
999, 946684800, 01/01/2000 00:00:00, 8
1999, 946684800, 01/01/2000 00:00:00, 9
2999, 946684800, 01/01/2000 00:00:00, 9
3999, 946684800, 01/01/2000 00:00:00, 9
